feature,value,1,2,3,4,5,6
mlp_0_1_outputs,4,0.8311236,0.42427227,-0.26050574,-0.37060463,-0.6210626,-0.5072038
mlp_0_1_outputs,5,-0.03471797,0.0053174677,0.4790628,-0.7762402,-0.6056631,-0.14073646
mlp_0_1_outputs,6,0.27472842,0.9741541,0.28915486,-0.25915676,-0.6803354,-0.13205534
mlp_0_1_outputs,7,-0.05291701,0.062361713,0.2105239,-0.93963355,-0.9173987,-0.30437696
ones,_,-0.319919,0.8234689,0.5123497,0.031151019,-0.12111429,-0.07403528
positions,0,0.27923062,-0.3091126,0.053373482,-0.21694425,0.0022322696,0.16664109
positions,1,0.123759925,0.30551472,0.16372433,-0.053392913,-0.34957373,-1.0924286
positions,2,0.22848648,0.4324652,0.26254055,0.0097010825,-0.2848077,-0.62205184
positions,3,0.14367819,0.39171842,0.25533837,0.035011683,-0.2813689,-0.66360736
positions,4,0.09263712,0.29657418,0.2277471,-0.05392387,-0.33821157,-0.6060385
positions,5,0.05615708,0.35973826,0.24831976,-0.0015744307,-0.48503658,-0.5111124
positions,6,-0.0063324026,0.43240136,0.39775327,0.27587244,0.060136225,-0.27875993
positions,7,-0.09356469,0.34816113,0.4361153,0.3101205,0.32941234,-0.16621928
tokens,0,0.099383704,0.24965781,0.51327604,-0.29472035,0.100056976,1.5838091
tokens,1,0.43618327,0.5892299,0.9097409,0.199872,-0.7855348,-2.8869672
tokens,2,-0.106542714,-0.018263228,0.29311547,-0.08045177,0.16960807,1.1236911
tokens,3,-0.010149442,-0.05775488,0.18197568,-0.1197612,-0.31282127,-3.0745466
tokens,4,0.0070915325,0.2252887,0.47171125,-0.13590224,-0.70786846,1.4429613
tokens,5,0.27961016,0.37515852,0.6380913,0.20330705,-0.19360761,-2.5792544
tokens,<pad>,0.54420185,0.22650366,0.40457106,0.14786854,-0.075343505,-0.34116256
tokens,<s>,0.27447078,0.23457594,0.59966797,0.6880689,0.13049108,0.4125591
